SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,AODV,7.5
1,0,0,10,AODV,7.5
2,0,0,10,AODV,7.5
3,0,0,10,AODV,7.5
4,0,0,10,AODV,7.5
5,0,0,10,AODV,7.5
6,0,0,10,AODV,7.5
7,0,0,10,AODV,7.5
8,0,0,10,AODV,7.5
9,0,0,10,AODV,7.5
10,0,0,10,AODV,7.5
11,0,0,10,AODV,7.5
12,0,0,10,AODV,7.5
13,0,0,10,AODV,7.5
14,0,0,10,AODV,7.5
15,0,0,10,AODV,7.5
16,0,0,10,AODV,7.5
17,0,0,10,AODV,7.5
18,0,0,10,AODV,7.5
19,0,0,10,AODV,7.5
20,0,0,10,AODV,7.5
21,0,0,10,AODV,7.5
22,0,0,10,AODV,7.5
23,0,0,10,AODV,7.5
24,0,0,10,AODV,7.5
25,0,0,10,AODV,7.5
26,0,0,10,AODV,7.5
27,0,0,10,AODV,7.5
28,0,0,10,AODV,7.5
29,0,0,10,AODV,7.5
30,0,0,10,AODV,7.5
31,0,0,10,AODV,7.5
32,0,0,10,AODV,7.5
33,0,0,10,AODV,7.5
34,0,0,10,AODV,7.5
35,0,0,10,AODV,7.5
36,0,0,10,AODV,7.5
37,0,0,10,AODV,7.5
38,0,0,10,AODV,7.5
39,0,0,10,AODV,7.5
40,0,0,10,AODV,7.5
41,0,0,10,AODV,7.5
42,0,0,10,AODV,7.5
43,0,0,10,AODV,7.5
44,0,0,10,AODV,7.5
45,0,0,10,AODV,7.5
46,0,0,10,AODV,7.5
47,0,0,10,AODV,7.5
48,0,0,10,AODV,7.5
49,0,0,10,AODV,7.5
50,0,0,10,AODV,7.5
51,0,0,10,AODV,7.5
52,0,0,10,AODV,7.5
53,0,0,10,AODV,7.5
54,0,0,10,AODV,7.5
55,0,0,10,AODV,7.5
56,0,0,10,AODV,7.5
57,0,0,10,AODV,7.5
58,0,0,10,AODV,7.5
59,0,0,10,AODV,7.5
60,0,0,10,AODV,7.5
61,0,0,10,AODV,7.5
62,0,0,10,AODV,7.5
63,0,0,10,AODV,7.5
64,0,0,10,AODV,7.5
65,0,0,10,AODV,7.5
66,0,0,10,AODV,7.5
67,0,0,10,AODV,7.5
68,0,0,10,AODV,7.5
69,0,0,10,AODV,7.5
70,0,0,10,AODV,7.5
71,0,0,10,AODV,7.5
72,0,0,10,AODV,7.5
73,0,0,10,AODV,7.5
74,0,0,10,AODV,7.5
75,0,0,10,AODV,7.5
76,0,0,10,AODV,7.5
77,0,0,10,AODV,7.5
78,0,0,10,AODV,7.5
79,0,0,10,AODV,7.5
80,0,0,10,AODV,7.5
81,0,0,10,AODV,7.5
82,0,0,10,AODV,7.5
83,0,0,10,AODV,7.5
84,0,0,10,AODV,7.5
85,0,0,10,AODV,7.5
86,0,0,10,AODV,7.5
87,0,0,10,AODV,7.5
88,0,0,10,AODV,7.5
89,0,0,10,AODV,7.5
90,0,0,10,AODV,7.5
91,0,0,10,AODV,7.5
92,0,0,10,AODV,7.5
93,0,0,10,AODV,7.5
94,0,0,10,AODV,7.5
95,0,0,10,AODV,7.5
96,0,0,10,AODV,7.5
97,0,0,10,AODV,7.5
98,0,0,10,AODV,7.5
99,0,0,10,AODV,7.5
100,0,0,10,AODV,7.5
101,7.68,15,10,AODV,7.5
102,19.456,38,10,AODV,7.5
103,19.456,38,10,AODV,7.5
104,19.456,38,10,AODV,7.5
105,19.456,38,10,AODV,7.5
106,21.504,42,10,AODV,7.5
107,19.456,38,10,AODV,7.5
108,18.432,36,10,AODV,7.5
109,18.432,36,10,AODV,7.5
110,19.968,39,10,AODV,7.5
111,20.48,40,10,AODV,7.5
112,20.48,40,10,AODV,7.5
113,19.968,39,10,AODV,7.5
114,17.92,35,10,AODV,7.5
115,18.432,36,10,AODV,7.5
116,18.432,36,10,AODV,7.5
117,18.432,36,10,AODV,7.5
118,18.432,36,10,AODV,7.5
119,18.432,36,10,AODV,7.5
120,18.432,36,10,AODV,7.5
121,18.944,37,10,AODV,7.5
122,17.92,35,10,AODV,7.5
123,18.432,36,10,AODV,7.5
124,18.432,36,10,AODV,7.5
125,18.432,36,10,AODV,7.5
126,18.432,36,10,AODV,7.5
127,18.432,36,10,AODV,7.5
128,18.432,36,10,AODV,7.5
129,18.432,36,10,AODV,7.5
130,18.432,36,10,AODV,7.5
131,17.92,35,10,AODV,7.5
132,18.432,36,10,AODV,7.5
133,17.92,35,10,AODV,7.5
134,17.92,35,10,AODV,7.5
135,18.432,36,10,AODV,7.5
136,17.92,35,10,AODV,7.5
137,18.432,36,10,AODV,7.5
138,17.92,35,10,AODV,7.5
139,17.408,34,10,AODV,7.5
140,17.408,34,10,AODV,7.5
141,14.336,28,10,AODV,7.5
142,15.872,31,10,AODV,7.5
143,16.896,33,10,AODV,7.5
144,16.384,32,10,AODV,7.5
145,16.384,32,10,AODV,7.5
146,16.384,32,10,AODV,7.5
147,15.36,30,10,AODV,7.5
148,14.336,28,10,AODV,7.5
149,13.824,27,10,AODV,7.5
150,12.8,25,10,AODV,7.5
151,15.872,31,10,AODV,7.5
152,16.384,32,10,AODV,7.5
153,16.384,32,10,AODV,7.5
154,16.384,32,10,AODV,7.5
155,16.384,32,10,AODV,7.5
156,16.384,32,10,AODV,7.5
157,16.384,32,10,AODV,7.5
158,15.872,31,10,AODV,7.5
159,16.384,32,10,AODV,7.5
160,15.36,30,10,AODV,7.5
161,16.384,32,10,AODV,7.5
162,16.384,32,10,AODV,7.5
163,15.36,30,10,AODV,7.5
164,15.36,30,10,AODV,7.5
165,15.36,30,10,AODV,7.5
166,16.384,32,10,AODV,7.5
167,16.384,32,10,AODV,7.5
168,17.92,35,10,AODV,7.5
169,18.432,36,10,AODV,7.5
170,18.432,36,10,AODV,7.5
171,18.432,36,10,AODV,7.5
172,18.432,36,10,AODV,7.5
173,17.92,35,10,AODV,7.5
174,17.92,35,10,AODV,7.5
175,16.384,32,10,AODV,7.5
176,15.36,30,10,AODV,7.5
177,16.896,33,10,AODV,7.5
178,15.36,30,10,AODV,7.5
179,18.432,36,10,AODV,7.5
180,18.432,36,10,AODV,7.5
181,20.48,40,10,AODV,7.5
182,20.48,40,10,AODV,7.5
183,20.48,40,10,AODV,7.5
184,19.456,38,10,AODV,7.5
185,18.944,37,10,AODV,7.5
186,18.432,36,10,AODV,7.5
187,18.432,36,10,AODV,7.5
188,18.432,36,10,AODV,7.5
189,18.432,36,10,AODV,7.5
190,17.92,35,10,AODV,7.5
191,17.92,35,10,AODV,7.5
192,17.92,35,10,AODV,7.5
193,17.92,35,10,AODV,7.5
194,16.384,32,10,AODV,7.5
195,18.432,36,10,AODV,7.5
196,15.872,31,10,AODV,7.5
197,16.896,33,10,AODV,7.5
198,16.384,32,10,AODV,7.5
199,17.92,35,10,AODV,7.5
200,18.432,36,10,AODV,7.5
201,17.92,35,10,AODV,7.5
202,15.872,31,10,AODV,7.5
203,17.408,34,10,AODV,7.5
204,15.872,31,10,AODV,7.5
205,14.336,28,10,AODV,7.5
206,15.36,30,10,AODV,7.5
207,16.384,32,10,AODV,7.5
208,15.872,31,10,AODV,7.5
209,16.384,32,10,AODV,7.5
210,16.384,32,10,AODV,7.5
211,16.384,32,10,AODV,7.5
212,16.384,32,10,AODV,7.5
213,16.384,32,10,AODV,7.5
214,15.872,31,10,AODV,7.5
215,14.336,28,10,AODV,7.5
216,13.824,27,10,AODV,7.5
217,14.336,28,10,AODV,7.5
